order_id,order_date,customer_age,product_category,order_value,discount_applied,payment_method,delivery_time_days,customer_rating,order_status
97,1/9/2024,63.0,Electronics,10469.74,Yes,UPI,1.0,4.7,Delivered
98,12/9/2024,49.0,Home & Kitchen,17904.46,Yes,COD,10.0,1.9,Cancelled
99,11/19/2024,33.0,,6337.55,No,UPI,1.0,1.6,Delivered
100,9/23/2024,41.0,Electronics,18611.18,No,UPI,8.0,3.9,Delivered
101,1/20/2024,31.0,Electronics,3010.85,Yes,Wallet,3.0,3.3,Returned
102,12/20/2024,47.0,Books,6786.24,No,COD,4.0,1.3,Delivered
103,6/15/2024,51.0,Electronics,20383.06,Yes,COD,10.0,3.1,Delivered
104,5/7/2024,48.0,Sports,23542.63,Yes,Wallet,6.0,2.2,Delivered
105,2/16/2024,39.0,Fashion,14835.14,No,COD,8.0,3.1,Cancelled
106,6/21/2024,36.0,Beauty,18781.73,No,UPI,4.0,2.8,Delivered
107,4/7/2024,27.0,Electronics,15432.79,No,Wallet,7.0,1.2,Delivered
108,12/9/2024,35.0,Books,10957.92,Yes,COD,8.0,1.8,Returned
109,3/12/2024,50.0,Books,10395.78,No,UPI,8.0,1.5,Returned
110,3/29/2024,52.0,Beauty,5808.98,Yes,Wallet,6.0,1.6,Returned
111,3/8/2024,60.0,Sports,15844.32,No,Card,9.0,2.8,Cancelled
112,3/13/2024,59.0,Books,470.72,No,Wallet,2.0,4.8,Cancelled
113,1/3/2024,49.0,Electronics,19016.93,Yes,Wallet,2.0,3.7,Cancelled
114,4/26/2024,51.0,Fashion,9164.67,No,UPI,7.0,2.8,Delivered
115,9/23/2024,36.0,Electronics,683.75,Yes,Wallet,9.0,3.2,Returned
116,7/6/2024,45.0,Home & Kitchen,5775.27,Yes,COD,8.0,3.1,Delivered
117,9/15/2024,24.0,Fashion,9464.91,Yes,UPI,5.0,2.5,Cancelled
118,11/13/2024,53.0,Beauty,1546.33,No,UPI,2.0,2.5,Cancelled
119,3/31/2024,25.0,Home & Kitchen,14555.51,No,Card,2.0,3.8,Returned
120,10/6/2024,53.0,Sports,8600.12,Yes,Card,7.0,4.6,Returned
121,4/30/2024,30.0,Home & Kitchen,21791.12,Yes,Card,5.0,2.6,Returned
122,1/22/2024,37.0,Beauty,22120.79,Yes,COD,1.0,3.1,Delivered
123,11/14/2024,44.0,Books,14497.43,Yes,UPI,10.0,3.8,Cancelled
124,7/20/2024,29.0,Fashion,18010.3,Yes,Card,10.0,4.3,Cancelled
125,11/18/2024,55.0,Electronics,20561.25,Yes,COD,7.0,4.6,Cancelled
126,6/18/2024,33.0,Fashion,3892.03,No,COD,7.0,2.5,Cancelled
127,2/29/2024,21.0,Home & Kitchen,3260.22,No,UPI,8.0,3.5,Cancelled
128,7/8/2024,46.0,Fashion,6154.92,Yes,COD,5.0,4.8,Cancelled
129,6/2/2024,45.0,Home & Kitchen,9484.71,No,Card,1.0,4.9,Delivered
130,4/16/2024,32.0,Home & Kitchen,13953.91,No,UPI,5.0,4.5,Delivered
131,10/28/2024,20.0,Home & Kitchen,4987.4,Yes,Card,5.0,1.4,Cancelled
132,6/5/2024,33.0,Home & Kitchen,2452.56,Yes,,6.0,1.3,Cancelled
133,7/31/2024,30.0,Electronics,24359.82,Yes,Card,7.0,3.3,Returned
134,11/15/2024,58.0,Fashion,23971.74,Yes,Card,10.0,3.8,Delivered
135,2/23/2024,58.0,Electronics,23812.34,No,UPI,7.0,4.0,Cancelled
136,2/19/2024,24.0,Books,21822.83,Yes,Card,10.0,1.5,Delivered
137,4/22/2024,44.0,Sports,18967.81,No,COD,3.0,3.5,Returned
138,10/30/2024,41.0,Books,8076.43,No,UPI,8.0,4.8,Returned
139,11/9/2024,52.0,Sports,22384.85,No,UPI,5.0,1.5,Cancelled
140,12/7/2024,36.0,Books,19961.75,No,Card,2.0,1.6,Returned
141,2/3/2024,57.0,Fashion,16505.36,No,COD,10.0,1.9,Cancelled
142,3/26/2024,54.0,Fashion,20809.28,No,UPI,8.0,3.1,Delivered
143,6/2/2024,42.0,Home & Kitchen,6855.51,No,UPI,1.0,1.1,Returned
144,9/21/2024,30.0,Electronics,2410.72,Yes,Card,6.0,2.2,Returned
145,1/18/2024,24.0,Home & Kitchen,15847.55,Yes,COD,8.0,1.3,Delivered
146,9/24/2024,50.0,Fashion,13372.6,Yes,Card,4.0,3.5,Cancelled
147,2/28/2024,43.0,Home & Kitchen,24643.05,Yes,Wallet,3.0,2.0,Delivered
148,4/6/2024,24.0,Beauty,370.39,Yes,Wallet,6.0,1.9,Delivered
149,7/19/2024,40.0,Sports,24702.37,No,,10.0,2.1,Returned
150,5/25/2024,40.0,Fashion,24880.06,No,Card,1.0,3.4,Returned
151,12/5/2024,18.0,Electronics,3294.4,Yes,Wallet,3.0,3.6,Returned
152,6/22/2024,48.0,Beauty,2219.2,No,COD,4.0,5.0,Delivered
153,3/16/2024,50.0,Beauty,1485.2,No,UPI,3.0,4.9,Cancelled
154,6/27/2024,65.0,Electronics,11740.33,Yes,Wallet,6.0,2.1,Delivered
155,11/17/2024,41.0,Books,1091.21,No,UPI,3.0,4.0,Cancelled
156,11/1/2024,28.0,Beauty,8772.13,No,COD,10.0,4.1,Cancelled
157,5/16/2024,40.0,Sports,6498.57,No,UPI,7.0,2.3,Returned
158,4/22/2024,47.0,Fashion,21274.0,Yes,Wallet,2.0,2.8,Returned
159,7/21/2024,64.0,Home & Kitchen,15745.92,Yes,Wallet,6.0,2.2,Delivered
160,1/1/2024,61.0,Books,7606.84,Yes,Card,4.0,4.0,Returned
161,6/18/2024,59.0,Fashion,24838.27,No,UPI,1.0,1.2,Returned
162,4/22/2024,41.0,Fashion,6963.06,No,UPI,7.0,5.0,Delivered
163,7/31/2024,46.0,Beauty,11821.98,Yes,Card,2.0,4.6,Delivered
164,11/25/2024,25.0,Electronics,7937.04,No,UPI,2.0,1.1,Cancelled
165,12/8/2024,38.0,Books,2842.32,Yes,UPI,4.0,3.7,Returned
166,4/10/2024,41.0,Home & Kitchen,19294.21,No,Wallet,7.0,3.2,Cancelled
167,11/25/2024,41.0,Books,24624.19,Yes,Card,4.0,2.0,Cancelled
168,4/2/2024,44.0,Fashion,7856.69,No,UPI,5.0,2.6,Returned
169,5/29/2024,63.0,Home & Kitchen,15281.18,No,COD,7.0,2.7,Delivered
170,3/31/2024,57.0,Books,5878.72,Yes,COD,10.0,2.1,Cancelled
171,8/10/2024,26.0,Electronics,16330.36,No,Card,8.0,4.8,Returned
172,12/23/2024,46.0,Fashion,2078.33,No,COD,6.0,4.7,Cancelled
173,11/13/2024,51.0,Fashion,16410.93,Yes,UPI,1.0,4.1,Returned
174,1/20/2024,23.0,Beauty,22874.5,No,UPI,5.0,3.7,Delivered
175,9/8/2024,30.0,Home & Kitchen,24877.17,Yes,Wallet,8.0,3.1,Returned
176,1/13/2024,39.0,Sports,24577.33,Yes,Wallet,6.0,4.4,Delivered
177,4/19/2024,65.0,Books,13335.92,Yes,UPI,1.0,3.6,Returned
178,1/16/2024,41.0,Beauty,3691.54,No,COD,3.0,2.6,Delivered
179,6/30/2024,54.0,Fashion,7751.78,Yes,UPI,10.0,1.5,Returned
180,8/2/2024,47.0,Beauty,13186.11,Yes,UPI,1.0,3.6,Delivered
181,12/8/2024,30.0,Books,7778.04,Yes,UPI,6.0,2.3,Returned
182,7/26/2024,52.0,Home & Kitchen,8453.84,Yes,COD,7.0,3.5,Cancelled
183,2/29/2024,28.0,Fashion,4004.73,Yes,UPI,9.0,1.7,Delivered
184,4/23/2024,30.0,Home & Kitchen,7068.98,No,UPI,6.0,1.9,Delivered
185,10/24/2024,59.0,Fashion,14537.54,Yes,COD,6.0,2.7,Cancelled
186,9/23/2024,56.0,Books,16326.81,No,UPI,9.0,1.4,Returned
187,12/10/2024,37.0,Fashion,7507.47,No,UPI,1.0,5.0,Cancelled
188,2/27/2024,39.0,Home & Kitchen,8993.1,Yes,COD,4.0,3.5,Delivered
189,10/25/2024,40.0,Home & Kitchen,24208.97,Yes,COD,5.0,1.9,Cancelled
190,11/2/2024,33.0,Sports,16854.12,No,Wallet,7.0,1.2,Cancelled
191,6/24/2024,59.0,Books,22128.35,No,,9.0,4.0,Delivered
192,9/15/2024,36.0,Books,1984.99,No,UPI,6.0,2.9,Delivered
193,5/4/2024,44.0,Beauty,3390.16,No,UPI,8.0,2.9,Returned
194,11/23/2024,23.0,Home & Kitchen,18481.43,Yes,Card,2.0,4.7,Returned
195,1/1/2024,21.0,Beauty,12308.39,No,COD,4.0,3.6,Returned
196,5/25/2024,35.0,Fashion,12364.22,Yes,UPI,1.0,2.7,Cancelled
197,12/31/2024,48.0,Sports,16659.44,No,Card,5.0,3.6,Returned
198,11/20/2024,57.0,Electronics,19284.56,Yes,UPI,9.0,4.8,Delivered
199,4/8/2024,22.0,Electronics,6795.73,Yes,UPI,3.0,2.3,Delivered
200,10/9/2024,28.0,Sports,21553.59,No,COD,2.0,1.3,Cancelled
201,6/4/2024,57.0,Beauty,13612.34,No,Wallet,8.0,2.9,Returned
202,1/22/2024,56.0,Sports,23957.37,No,Card,8.0,2.1,Delivered
203,5/18/2024,42.0,Electronics,1221.15,No,COD,5.0,2.3,Cancelled
204,6/8/2024,51.0,Home & Kitchen,18200.25,Yes,UPI,1.0,3.8,Returned
205,6/2/2024,63.0,Beauty,9850.32,No,,3.0,4.3,Returned
206,10/22/2024,36.0,Electronics,19275.03,Yes,Wallet,5.0,3.9,Delivered
207,8/25/2024,23.0,Electronics,18865.51,Yes,Wallet,5.0,4.9,Returned
208,1/13/2024,34.0,Sports,7301.83,No,Card,5.0,3.7,Returned
209,1/22/2024,27.0,Electronics,17747.33,Yes,Card,9.0,3.1,Delivered
210,9/25/2024,22.0,Sports,16657.42,No,Wallet,7.0,3.3,Returned
211,9/9/2024,37.0,Electronics,21619.01,No,Wallet,3.0,3.9,Returned
212,10/26/2024,32.0,Books,15470.44,No,Wallet,5.0,1.0,Cancelled
213,12/23/2024,53.0,Beauty,6206.8,No,Card,5.0,3.5,Delivered
214,8/12/2024,60.0,Sports,4143.14,Yes,COD,6.0,4.4,Returned
215,1/26/2024,46.0,Books,8077.8,No,Wallet,4.0,3.1,Delivered
216,11/15/2024,35.0,Electronics,10675.41,No,Wallet,6.0,1.9,Delivered
217,6/12/2024,43.0,Electronics,17850.38,No,COD,1.0,3.7,Delivered
218,8/18/2024,52.0,Beauty,8570.04,Yes,UPI,3.0,1.6,Returned
219,9/1/2024,60.0,Sports,7288.78,Yes,Card,4.0,4.1,Returned
220,4/4/2024,64.0,Electronics,24061.47,No,Card,4.0,3.9,Returned
221,6/22/2024,64.0,Fashion,5845.81,No,Wallet,7.0,4.4,Cancelled
222,10/5/2024,42.0,Electronics,17508.79,Yes,COD,6.0,2.5,Delivered
223,10/22/2024,35.0,Beauty,8989.94,No,UPI,5.0,2.1,Delivered
224,2/19/2024,61.0,Fashion,4811.06,No,Wallet,4.0,1.4,Cancelled
225,10/1/2024,30.0,Electronics,19826.03,No,Card,10.0,3.1,Delivered
226,7/29/2024,28.0,Sports,11954.78,Yes,COD,9.0,4.4,Delivered
227,8/23/2024,47.0,Fashion,23371.95,Yes,UPI,3.0,2.0,Returned
228,2/8/2024,50.0,Sports,13172.27,Yes,Card,6.0,2.2,Delivered
229,2/1/2024,26.0,Fashion,3948.38,Yes,UPI,4.0,5.0,Delivered
230,12/30/2024,47.0,Sports,10394.48,Yes,Wallet,5.0,3.9,Returned
231,2/13/2024,34.0,Beauty,1088.86,No,Wallet,5.0,2.4,Delivered
232,7/3/2024,34.0,Home & Kitchen,2552.81,Yes,Card,6.0,3.6,Cancelled
233,1/25/2024,53.0,Fashion,16429.12,No,Card,8.0,4.3,Delivered
234,5/31/2024,39.0,Books,16204.13,Yes,UPI,7.0,1.3,Delivered
235,11/17/2024,52.0,Books,16139.82,No,Card,7.0,1.9,Cancelled
236,4/9/2024,29.0,Electronics,8026.61,No,Wallet,5.0,3.8,Delivered
237,2/15/2024,29.0,Fashion,20185.09,No,Wallet,5.0,1.2,Delivered
238,1/5/2024,18.0,Sports,22328.36,No,Card,10.0,4.7,Cancelled
239,7/15/2024,64.0,Books,2359.45,No,Card,6.0,3.0,Delivered
240,2/10/2024,65.0,Beauty,13901.12,Yes,Card,10.0,3.8,Cancelled
241,7/10/2024,43.0,Electronics,11490.48,Yes,COD,1.0,4.8,Cancelled
242,3/1/2024,22.0,Books,23912.2,No,UPI,10.0,4.1,Delivered
243,1/10/2024,21.0,Books,20005.33,No,Card,8.0,3.3,Cancelled
244,1/14/2024,54.0,Sports,24551.55,No,,1.0,1.2,Delivered
245,5/9/2024,39.0,Sports,6412.19,Yes,Card,5.0,4.9,Returned
246,11/21/2024,62.0,Home & Kitchen,16489.58,Yes,UPI,6.0,2.8,Cancelled
247,1/17/2024,55.0,Beauty,23833.67,Yes,Card,5.0,4.0,Returned
248,12/21/2024,25.0,Books,24840.46,No,COD,5.0,2.9,Returned
249,11/10/2024,40.0,Electronics,1607.13,Yes,UPI,6.0,2.1,Cancelled
250,8/2/2024,32.0,Fashion,14043.44,No,UPI,5.0,4.6,Returned
251,3/17/2024,43.0,Sports,3125.94,Yes,UPI,4.0,4.1,Returned
252,10/27/2024,24.0,Books,15813.65,Yes,UPI,4.0,1.6,Cancelled
253,10/16/2024,61.0,Home & Kitchen,16705.02,Yes,Card,5.0,3.8,Returned
254,11/17/2024,26.0,Electronics,1942.75,No,UPI,6.0,4.4,Returned
255,1/31/2024,61.0,Books,13077.68,Yes,Wallet,10.0,1.1,Cancelled
256,1/30/2024,34.0,Beauty,6046.26,No,COD,9.0,3.9,Delivered
257,11/12/2024,28.0,Books,2176.28,Yes,Card,2.0,2.2,Cancelled
258,7/14/2024,50.0,Sports,5742.68,Yes,Wallet,7.0,1.1,Delivered
259,3/11/2024,27.0,Fashion,7912.03,No,COD,9.0,2.3,Cancelled
260,9/26/2024,26.0,Beauty,8087.86,No,Card,7.0,4.6,Delivered
261,1/24/2024,34.0,Home & Kitchen,1605.08,Yes,UPI,3.0,4.2,Returned
262,4/9/2024,53.0,Beauty,19227.51,No,Card,8.0,1.6,Returned
263,2/2/2024,55.0,Sports,17357.28,Yes,Wallet,5.0,2.5,Returned
264,11/8/2024,33.0,Beauty,7777.42,No,Card,9.0,1.2,Returned
265,10/11/2024,32.0,Sports,9975.19,Yes,Wallet,5.0,3.4,Returned
266,3/26/2024,30.0,Books,14025.41,Yes,UPI,4.0,3.3,Delivered
267,1/31/2024,62.0,Sports,23143.31,No,UPI,7.0,3.7,Cancelled
268,12/18/2024,51.0,Beauty,4496.12,Yes,Card,5.0,3.6,Delivered
269,10/3/2024,63.0,Books,6485.41,No,COD,9.0,1.9,Returned
270,9/28/2024,57.0,Beauty,6766.89,Yes,COD,9.0,1.6,Delivered
271,3/13/2024,48.0,Sports,13989.23,Yes,UPI,9.0,1.1,Cancelled
272,2/8/2024,42.0,Home & Kitchen,8119.6,No,Card,9.0,4.9,Returned
273,6/3/2024,43.0,Beauty,10611.81,Yes,COD,4.0,4.5,Returned
274,7/19/2024,48.0,Fashion,20163.53,Yes,COD,4.0,2.2,Cancelled
275,11/21/2024,29.0,Home & Kitchen,20589.73,No,Card,6.0,3.0,Cancelled
276,2/8/2024,40.0,Home & Kitchen,4259.51,Yes,UPI,5.0,4.3,Cancelled
277,4/14/2024,28.0,Beauty,7213.66,No,Wallet,2.0,4.6,Cancelled
278,4/6/2024,55.0,Sports,20945.97,Yes,UPI,5.0,3.6,Cancelled
279,4/9/2024,52.0,Books,6467.87,Yes,Card,6.0,2.4,Delivered
280,12/25/2024,28.0,Books,19906.43,No,UPI,2.0,3.9,Delivered
281,5/29/2024,21.0,Electronics,4938.26,No,Card,2.0,4.3,Delivered
282,12/1/2024,56.0,Home & Kitchen,20614.03,No,Card,5.0,3.0,Returned
283,9/15/2024,55.0,Home & Kitchen,9426.57,No,Card,4.0,3.3,Delivered
284,1/24/2024,37.0,Sports,17926.73,Yes,Card,4.0,2.2,Returned
285,7/22/2024,24.0,Fashion,2291.35,Yes,UPI,9.0,1.0,Cancelled
286,3/30/2024,59.0,Sports,20021.02,No,Wallet,2.0,2.0,Returned
287,9/21/2024,60.0,Sports,12231.88,No,Wallet,1.0,3.6,Returned
288,8/2/2024,53.0,Sports,14847.88,No,Wallet,1.0,3.0,Returned
289,9/16/2024,24.0,Beauty,2072.22,Yes,Wallet,9.0,4.3,Returned
290,6/6/2024,58.0,Books,22385.86,Yes,UPI,9.0,4.9,Delivered
291,1/5/2024,59.0,Beauty,19891.24,Yes,UPI,8.0,3.7,Delivered
292,9/19/2024,53.0,Home & Kitchen,13991.29,No,UPI,5.0,4.0,Cancelled
293,12/30/2024,49.0,Sports,18649.24,Yes,UPI,7.0,3.6,Delivered
294,2/19/2024,49.0,Sports,21384.71,No,COD,10.0,1.9,Returned
295,1/12/2024,58.0,Home & Kitchen,24744.38,Yes,COD,7.0,3.2,Delivered
296,9/7/2024,51.0,Fashion,16879.27,Yes,UPI,4.0,2.9,Cancelled
297,12/28/2024,26.0,Books,12604.77,No,COD,4.0,2.0,Returned
298,4/12/2024,46.0,Sports,24598.52,Yes,COD,2.0,5.0,Cancelled
299,11/17/2024,20.0,Electronics,113265.58,Yes,Wallet,3.0,4.7,Cancelled
300,2/7/2024,51.0,Electronics,7511.42,No,Card,8.0,2.3,Returned
301,6/22/2024,54.0,Fashion,10351.75,Yes,COD,1.0,2.7,Returned
302,4/2/2024,45.0,Books,24678.68,Yes,Card,5.0,2.6,Cancelled
303,8/3/2024,33.0,Beauty,24730.13,No,COD,4.0,2.8,Cancelled
304,11/16/2024,38.0,Electronics,23829.14,Yes,COD,3.0,4.1,Returned
305,1/31/2024,50.0,Fashion,8141.07,Yes,Wallet,10.0,3.5,Returned
306,3/7/2024,21.0,Home & Kitchen,10258.83,Yes,COD,6.0,4.7,Cancelled
307,2/22/2024,34.0,Books,24977.71,Yes,Card,3.0,1.0,Cancelled
308,2/1/2024,42.0,Books,18869.59,No,Card,1.0,2.2,Delivered
309,12/19/2024,25.0,Beauty,14010.91,Yes,Wallet,6.0,1.2,Cancelled
310,1/18/2024,38.0,Beauty,17884.76,No,Wallet,2.0,1.1,Returned
311,8/4/2024,32.0,Beauty,17985.36,Yes,Card,7.0,2.5,Returned
312,11/14/2024,39.0,Sports,11186.51,Yes,COD,4.0,4.1,Returned
313,12/30/2024,21.0,Home & Kitchen,13232.38,No,Wallet,7.0,2.4,Cancelled
314,7/17/2024,45.0,Electronics,18507.01,No,Card,9.0,3.0,Delivered
315,7/22/2024,53.0,Electronics,20054.24,Yes,UPI,3.0,2.0,Returned
316,11/1/2024,43.0,Home & Kitchen,19255.4,Yes,Card,1.0,3.7,Delivered
317,1/18/2024,59.0,Books,13925.36,No,UPI,10.0,1.6,Delivered
318,9/13/2024,25.0,Fashion,11348.97,Yes,Wallet,5.0,2.4,Cancelled
319,7/17/2024,54.0,Fashion,19887.95,No,Wallet,10.0,2.4,Delivered
320,2/14/2024,42.0,Sports,16683.32,Yes,Wallet,10.0,4.9,Delivered
321,7/12/2024,21.0,Beauty,2143.19,No,Card,7.0,3.9,Delivered
322,5/6/2024,49.0,Books,10139.19,Yes,Card,1.0,4.2,Returned
323,8/27/2024,37.0,Sports,13806.68,No,UPI,6.0,2.3,Cancelled
324,7/26/2024,42.0,Sports,24596.72,No,Wallet,4.0,4.9,Delivered
325,6/6/2024,32.0,Sports,22791.89,No,Wallet,7.0,4.9,Returned
